date,trades_count,total_pnl,avg_pnl,total_vol,avg_lev,cum_pnl,daily_return,rolling_vol_14,drawdown,max_drawdown_pct,sentiment_raw,sentiment_label
2023-01-05,3,0.0,0.0,477.0,,0.0,0.0,,0.0,0.0,29.0,fear
2023-05-12,9,0.0,0.0,50005.83,,0.0,0.0,,0.0,0.0,49.0,fear
2024-01-01,18,-129.53146,-7.196192222222223,264239.52999999997,,-129.53146,-129.53146,,-129.53146,-inf,65.0,greed
2024-01-02,6,0.0,0.0,2008.18,,-129.53146,0.0,,-129.53146,-inf,71.0,greed
2024-01-03,137,8244.241409,60.176944591240876,472974.7,,8114.709949,8244.241409,,0.0,0.0,70.0,greed
2024-01-04,77,2507.963406,32.57095332467532,339470.47,,10622.673354999999,2507.963406,,0.0,0.0,68.0,greed
2024-01-05,14,0.0,0.0,87025.45,,10622.673354999999,0.0,,0.0,0.0,72.0,greed
2024-01-06,25,91.510419,3.66041676,12834.62,,10714.183774,91.510419,,0.0,0.0,70.0,greed
2024-01-07,64,5065.839308,79.1537391875,362670.14999999997,,15780.023082,5065.839308,,0.0,0.0,71.0,greed
2024-01-08,57,167.080017,2.9312283684210527,227774.53,,15947.103099,167.080017,,0.0,0.0,71.0,greed
2024-01-09,12,137.433093,11.452757750000002,12359.68,,16084.536192,137.433093,,0.0,0.0,76.0,greed
2024-01-10,4,0.0,0.0,139954.32,,16084.536192,0.0,,0.0,0.0,73.0,greed
2024-01-11,23,1040.475736,45.238075478260875,260981.03,,17125.011928,1040.475736,,0.0,0.0,76.0,greed
2024-01-12,416,40886.364494,98.28453003365385,814711.82,,58011.376422,40886.364494,10857.076695636604,0.0,0.0,71.0,greed
2024-02-01,17,783.979116,46.11641858823529,121348.74,,58795.355538,783.979116,10836.061970536499,0.0,0.0,63.0,greed
2024-02-02,42,456.423473,10.867225547619048,474278.43,,59251.779011000006,456.423473,10823.133682635253,0.0,0.0,63.0,greed
2024-02-03,31,230.90060000000005,7.448406451612905,63197.56,,59482.67961100001,230.90060000000005,10812.383431232276,0.0,0.0,60.0,greed
2024-02-04,41,883.760812,21.555141756097562,239664.50999999998,,60366.44042300001,883.760812,10788.164356573801,0.0,0.0,60.0,greed
2024-02-06,93,192.906947,2.074268247311828,29464.51,,60559.34737000001,192.906947,10777.539624970936,0.0,0.0,64.0,greed
2024-02-07,18,2421.253116,134.514062,33347.47,,62980.60048600001,2421.253116,10778.330737491875,0.0,0.0,62.0,greed
2024-02-08,63,782.3681909999999,12.418542714285714,396320.37,,63762.96867700001,782.3681909999999,10759.460493680877,0.0,0.0,66.0,greed
2024-02-09,2,0.0,0.0,30000.42,,63762.96867700001,0.0,10761.911461100253,0.0,0.0,72.0,greed
2024-02-10,4,0.0,0.0,99954.34,,63762.96867700001,0.0,10800.779044746054,0.0,0.0,74.0,greed
2024-02-11,2,0.0,0.0,40000.0,,63762.96867700001,0.0,10804.750160577185,0.0,0.0,71.0,greed
2024-02-12,270,18489.604313,68.48001597407408,585243.56,,82252.57299000002,18489.604313,11469.2991925777,0.0,0.0,70.0,greed
2024-03-01,67,866.015507,12.925604582089552,394499.36,,83118.58849700002,866.015507,11444.155533111929,0.0,0.0,80.0,greed
2024-03-02,56,223.30918699999998,3.9876640535714283,603820.0,,83341.89768400003,223.30918699999998,11466.80175625253,0.0,0.0,80.0,greed
2024-03-03,79,8361.086245,105.83653474683545,390745.68,,91702.98392900002,8361.086245,5111.539274942316,0.0,0.0,83.0,greed
2024-03-04,4,126.7884,31.6971,16887.57,,91829.77232900003,126.7884,5130.568696114178,0.0,0.0,82.0,greed
2024-03-05,36,5306.017045,147.3893623611111,282682.64999999997,,97135.78937400003,5306.017045,5155.840159714153,0.0,0.0,90.0,greed
2024-03-06,70,562.808208,8.040117257142859,21466.86,,97698.59758200003,562.808208,5144.333892347224,0.0,0.0,75.0,greed
2024-03-07,18,1118.387284,62.132626888888886,179600.66,,98816.98486600003,1118.387284,5138.236203385923,0.0,0.0,82.0,greed
2024-03-08,37,464.1897,12.545667567567568,290532.86,,99281.17456600003,464.1897,5128.36748957233,0.0,0.0,81.0,greed
2024-03-10,9,100.375782,11.152864666666666,132935.69,,99381.55034800003,100.375782,5177.638488210995,0.0,0.0,79.0,greed
2024-03-11,6,0.0,0.0,129055.66,,99381.55034800003,0.0,5202.92686440331,0.0,0.0,82.0,greed
2024-03-12,374,23576.539285,63.03887509358289,1084666.53,,122958.08963300003,23576.539285,7585.913568064463,0.0,0.0,81.0,greed
2024-04-01,5,-67.60364,-13.520728,99792.54000000001,,122890.48599300002,-67.60364,7588.833045663564,-67.60364000000118,-0.000549810428917552,79.0,greed
2024-04-02,35,47.62389499999999,1.360682714285714,203187.53,,122938.10988800002,47.62389499999999,7586.804678638355,-19.979745000004186,-0.00016249231798926012,79.0,greed
2024-04-03,300,27799.775742,92.66591914,1577996.87,,150737.88563000003,27799.775742,9174.970830654302,0.0,0.0,71.0,greed
2024-04-04,32,0.0,0.0,95987.73,,150737.88563000003,0.0,9207.064080830807,0.0,0.0,70.0,greed
2024-04-05,9,0.0,0.0,58998.75,,150737.88563000003,0.0,9215.847939842095,0.0,0.0,79.0,greed
